sse,layer,angles_layer,angles_floor,angles_side,points_layer,points_floor,points_side,tilted_layer,tilted_floor,tilted_side,pdb_path
A3E,A,-5.5328136037079245,-84.40940272079966,0.7952131679803608,0.32026520734873604,0.336787856550534,2.37088087319917,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0003.pdb
A4E,A,-17.129351914497768,-72.80916177637451,1.4027153284238334,0.14093377112205865,0.18322465590509845,7.099334018235264,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0003.pdb
B1H,A,5.212729860891031,-83.70808872848895,3.5149835313651754,9.755867779855233,0.3088037643559832,0.10855404181920617,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0003.pdb
A1E,A,16.713236683523352,-73.28231147106321,-0.4004214163565066,0.06324902212863938,0.59090916592147,7.017966342425195,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0003.pdb
A2E,A,5.838282394215637,-84.10989403262901,0.7818132797025987,0.11639897966779215,0.4385471109204015,2.4510414705790504,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0003.pdb
A3E,A,-5.616544953985079,-84.34835180149923,0.7221238943426593,0.3404468780608588,0.34259401391727884,2.3714179910849142,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0005.pdb
A4E,A,-17.181545966213204,-72.79098383375812,1.1212762174715758,0.1619815284522833,0.16293815766485914,7.143639329090461,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0005.pdb
B1H,A,5.065762961995653,-83.05452767295512,4.729307567906488,9.756047941265273,0.3133993060593533,0.15771495215762174,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0005.pdb
A1E,A,16.432213868634662,-73.55653152941055,0.029827633758807943,0.014599077099599369,0.6399856898718128,7.037196315361839,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0005.pdb
A2E,A,5.80997779733694,-84.06493599377526,1.1550839799375041,0.17008409052821608,0.4606495577534632,2.475809871488126,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0005.pdb
A3E,A,-5.842894557420129,-84.1050840358297,0.7549610473827565,0.351078876803893,0.3414453249839441,2.3590231615480555,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0001.pdb
A4E,A,-17.042549826643913,-72.92875014810973,0.9036011202477012,0.16244256786438646,0.2157569438528276,7.091055166022997,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0001.pdb
B1H,A,4.9195031795123985,-84.14070180848974,3.1822880682545267,9.707718598419449,0.32221036510768,0.1569091806741301,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0001.pdb
A1E,A,17.03617600872423,-72.9619754694672,-0.4056330458904836,0.04366945835471539,0.5642095168195537,6.9860162503773315,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections1X/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections1X_mid_128_funfol_template_sketch_0001_0001.pdb
