sse,layer,angles_layer,angles_floor,angles_side,points_layer,points_floor,points_side,tilted_layer,tilted_floor,tilted_side,pdb_path
A3E,A,6.950642063636018,-83.04975397272348,0.034585749206833334,0.278022182459145,0.3274413480439584,2.331530816664073,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0004.pdb
A4E,A,16.885245035639667,-73.10706955081375,-0.5106873483895942,0.1419649680919561,0.3520572515789425,7.082617804710939,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0004.pdb
B1H,A,-5.48589332859263,-83.76388236779239,2.956072847297197,9.699429930331839,0.19341694995801811,0.06617312062710398,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0004.pdb
A1E,A,-18.353075966296746,-71.63151658049976,0.7162206846300917,0.1020347087757517,0.4961054209379191,6.940139560730248,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0004.pdb
A2E,A,-5.702748675822628,-84.26403700023036,-0.6093210114752672,0.033184554422681686,0.5201346565636872,2.47540683562809,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0004.pdb
A3E,A,8.144813992297118,-81.8491652525431,0.405695761739951,0.22284870282368607,0.3187828995515666,2.3150255293880586,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0002.pdb
A4E,A,16.740560087910733,-73.25319814331469,-0.5710080919643946,0.12675286467793015,0.32445503747128995,7.153164247588599,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0002.pdb
B1H,A,-5.977751128060348,-83.81625660929417,1.562834457390036,9.707215935838462,0.18774850831227716,0.07502013371900873,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0002.pdb
A1E,A,-18.684691065971148,-71.3077545664678,0.3460360658509102,0.0756435513766311,0.5227851536482674,6.962334147287956,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0002.pdb
A2E,A,-5.858387155338331,-84.066299990182,-0.9116607847114478,0.01964327940214789,0.5287704275440769,2.5066918262003206,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0002.pdb
A3E,A,8.14542885441616,-81.82301923498468,0.7263248156118051,0.16509885142262642,0.3550856246563004,2.3226287244496167,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0001.pdb
A4E,A,16.727662708788138,-73.27181167797967,-0.24554133723590066,0.10395629902684016,0.3765446952237268,7.134499677890767,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0001.pdb
B1H,A,-5.867161896709418,-83.63012932415164,2.4669084740583984,9.68892563376538,0.16209059034038176,0.10680089692845736,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0001.pdb
A1E,A,-18.57445370389087,-71.41841458024186,0.4457786062904181,0.05548823609570863,0.4950089539745282,6.973276906093397,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0001.pdb
A2E,A,-6.369255550814332,-83.51457926096901,-1.211354869487271,0.0041784831430716944,0.518105944064483,2.4844147423519725,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0001.pdb
A3E,A,7.9003123098359325,-82.06607343473839,0.7137016267736579,0.14898137815171636,0.3399023300885081,2.312549883079691,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0005.pdb
A4E,A,17.028871541653775,-72.96350565490272,-0.4585268485858021,0.08643331454955698,0.393579305247784,7.1064357757845205,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0005.pdb
B1H,A,-5.951991350628513,-83.3764850427546,2.8992325834329247,9.671331446006189,0.1800481867379003,0.045301908353140505,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections2XZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections2XZ_mid_128_funfol_template_sketch_0001_0005.pdb
