sse,layer,angles_layer,angles_floor,angles_side,points_layer,points_floor,points_side,tilted_layer,tilted_floor,tilted_side,pdb_path
A3E,A,7.2570316037827824,-82.64619583129726,-1.1894822547367958,0.32564580108901386,0.2985664220625777,2.250377536175696,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0003.pdb
A4E,A,17.130009985365493,-72.84840565215801,0.8496273502962964,0.1900202331987689,0.34135268290314313,7.066647808520024,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0003.pdb
B1H,A,-6.061241294549457,-83.26310236178058,2.926766235616105,9.771050495157015,1.8137254839798724,0.1561243537855551,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0003.pdb
A1E,A,-18.807258767084367,-71.1394115313225,1.3547470719981038,0.12482511338863035,0.4395679365776229,6.867794851402133,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0003.pdb
A2E,A,-6.307862809945239,-83.6221760577329,-0.93348657844062,0.010976375413550246,0.4833340492979646,2.449135974357908,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0003.pdb
A3E,A,7.4300076480397585,-82.39972046614216,-1.5990347254130357,0.3482341874235481,0.2491135792886435,2.2317823942047674,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0005.pdb
A4E,A,17.43264677795579,-72.561157706378,-0.5052191172169501,0.15936974237734994,0.17408358907565388,6.9623328361859365,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0005.pdb
B1H,A,-5.874046179781949,-83.4237997300643,2.9422031896463614,9.732880450924226,1.8490484910890281,0.06356779171509333,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0005.pdb
A1E,A,-19.518887471832343,-70.4464987477598,1.0916149248956892,0.1206831620294299,0.5460608631343744,6.809470190350534,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0005.pdb
A2E,A,-6.5647298147890965,-83.39225200823539,-0.7367594215183434,0.06800747776697358,0.4700505529551425,2.3845514881994703,0.0,0.0,0.0,srch1PGX/natlik/db/ublike70120/corrections3XYZ/mid/connectivity/A3E.A4E.B1H.A1E.A2E/statistic/funfoldes_design/_pdb_files/128/srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_des_srch1PGX_natlik_db_ublike70120_corrections3XYZ_mid_128_funfol_template_sketch_0001_0005.pdb
