measure,layer,sse,close,mid,far,extreme
angles_layer,A,A3E,9.658646532637672,-12.291460089225813,-13.706470590521045,14.70737232864602
angles_layer,A,A4E,0.665442847994342,-14.643322764458595,-19.6896820530932,29.418588844004958
angles_layer,A,A2E,-0.7987512442918826,1.994995302996121,3.259337773081201,-3.0950983742853495
angles_layer,A,A1E,-10.043934565109529,13.54869914000501,16.491932179773187,-17.431951129146523
angles_floor,A,A3E,-77.36998030577881,-76.56875168133108,73.61144647643161,-64.50445471899252
angles_floor,A,A4E,-69.52063653388889,-70.42627982869631,65.71093527214441,-53.214173769092795
angles_floor,A,A2E,-81.05399394457051,-82.74912473653447,80.88208119765518,-73.06537844966853
angles_floor,A,A1E,-75.44398034869883,-74.60868368384936,71.99612868999851,-63.56253552653322
angles_side,A,A3E,-3.2558613787304296,-0.012769392225798981,1.0885348111685076,4.28870091708994
angles_side,A,A4E,-8.30134942388662,-3.69532362267071,1.115750264928291,-0.5322491900029434
angles_side,A,A2E,-6.826436309128309,-2.628527347718265,0.1591310630314169,2.1052906881547386
angles_side,A,A1E,-7.124198179692787,3.6850320118494047,2.292152857500934,1.4460774600601667
points_layer,A,A3E,0.35175981759921304,0.34538800496737126,0.3185455938002406,0.5156073629185353
points_layer,A,A4E,0.49126699737091895,0.2797391364873437,0.339096113086243,0.5683034211356583
points_layer,A,A2E,0.09658407287794801,0.18936628260041535,0.3093704621141712,0.4355640819135684
points_layer,A,A1E,0.3289740596324982,0.19826694468164371,0.22319703641767186,0.6743706782400462
points_floor,A,A3E,0.45555425720586085,0.30495382626713324,0.33898688217376366,0.6099298652078707
points_floor,A,A4E,2.9624906006929588,1.6196725088512935,0.9070386515454788,1.736313072637649
points_floor,A,A2E,0.4086565012863145,0.14348349340722316,0.5805727186548028,0.38943115450114413
points_floor,A,A1E,1.4505938634926252,0.6218209645020297,0.39956074716181744,0.7506564836441852
points_side,A,A3E,2.998077741401315,2.805214643503416,2.655754268882653,2.5535546647281153
points_side,A,A4E,7.4412347704146775,7.5565582826516495,7.552826322883472,7.447778084593681
points_side,A,A2E,1.7927875750704128,1.6377433922132656,1.3492540423101966,1.521134229511608
points_side,A,A1E,6.225505977315145,6.150117368951227,5.849462710725584,5.618855759751407
