measure,layer,sse,close,mid,far,extreme
angles_layer,A,A1E,0.0,0.0,0.0,17.781426269057494
angles_layer,A,B1E,0.0,0.0,0.0,9.454693293059563
angles_layer,A,A3E,0.0,0.0,0.0,-9.465564717341167
angles_layer,A,B3E,0.0,0.0,0.0,19.355208529874474
angles_layer,A,B4E,0.0,0.0,0.0,-39.61790077261761
angles_layer,A,A4E,0.0,0.0,0.0,13.804140268129103
angles_layer,A,B2E,0.0,0.0,0.0,-2.2442291308884066
angles_layer,A,A2E,0.0,0.0,0.0,-2.2104394788871353
angles_layer,B,A1E,0.0,0.0,0.0,-1.0258384878377598
angles_layer,B,B1E,0.0,0.0,0.0,-11.677939663944347
angles_layer,B,A3E,0.0,0.0,0.0,-1.4621045294366155
angles_layer,B,B3E,0.0,0.0,0.0,22.184146908216956
angles_layer,B,B4E,0.0,0.0,0.0,38.46777267578854
angles_layer,B,A4E,0.0,0.0,0.0,4.2684458864715396
angles_layer,B,B2E,0.0,0.0,0.0,3.933952234548226
angles_layer,B,A2E,0.0,0.0,0.0,5.246593709934139
angles_floor,A,A1E,0.0,0.0,0.0,-66.59151039227294
angles_floor,A,B1E,0.0,0.0,0.0,-62.85715186972686
angles_floor,A,A3E,0.0,0.0,0.0,-72.96764761851857
angles_floor,A,B3E,0.0,0.0,0.0,-52.54844033846537
angles_floor,A,B4E,0.0,0.0,0.0,31.752256855373645
angles_floor,A,A4E,0.0,0.0,0.0,-69.70357606268027
angles_floor,A,B2E,0.0,0.0,0.0,-65.77363192004327
angles_floor,A,A2E,0.0,0.0,0.0,-73.80248231996833
angles_floor,B,A1E,0.0,0.0,0.0,-50.92249485440638
angles_floor,B,B1E,0.0,0.0,0.0,-60.83442512241487
angles_floor,B,A3E,0.0,0.0,0.0,-55.14528437287839
angles_floor,B,B3E,0.0,0.0,0.0,-55.3864123298126
angles_floor,B,B4E,0.0,0.0,0.0,-44.08704619490515
angles_floor,B,A4E,0.0,0.0,0.0,-59.00398227078381
angles_floor,B,B2E,0.0,0.0,0.0,-67.7773596376677
angles_floor,B,A2E,0.0,0.0,0.0,-56.28518029322588
angles_side,A,A1E,0.0,0.0,0.0,2.3093695085983654
angles_side,A,B1E,0.0,0.0,0.0,4.781554647059821
angles_side,A,A3E,0.0,0.0,0.0,1.6838877464778719
angles_side,A,B3E,0.0,0.0,0.0,-7.793545829446721
