sse,layer,angles_layer,angles_floor,angles_side,points_layer,points_floor,points_side,tilted_layer,tilted_floor,tilted_side,pdb_path
A1E,A,16.21585798566338,73.78863977415058,0.1920770039743184,0.08636417058006418,0.167680227418325,7.217813399417898,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
B1E,A,11.556835926012829,78.25154899085852,-2.125559956597677,10.398944160253365,0.7193740077561284,7.1417124150644185,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
A3E,A,-3.5266196347129606,85.97144483933333,1.925217182525876,0.1063830344128706,0.2765337136424275,2.6200552429472843,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
B3E,A,-27.68602448389813,62.2250094975103,-1.9881445865434315,10.502408060846014,0.3087061511690488,2.38421136339683,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
B4E,A,-34.121209196950105,55.339577862601026,-5.351367007497196,10.21669815628366,0.6888850656081164,7.607211172215154,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
A4E,A,-21.53661951445704,68.39603866367247,-1.5602225805420027,0.03297042587671608,0.06470482003521967,7.1975572410615865,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
B2E,A,-1.0334471259950526,88.85966842782908,-0.47854278364695707,10.365920643499342,0.09709129806168734,2.356073790644881,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
A2E,A,6.8549666807038925,82.86743249480259,-1.990833000078231,0.16470649876306126,0.5202712663204275,2.6000236338186897,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
A1E,B,17.03943454987658,71.33269027154128,-7.3904763905878195,10.316765423699694,0.4103776281496221,6.157726705951117,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
B1E,B,12.366504746940693,74.0906929761031,-9.844245192691755,0.017731700696125768,1.4344316873205831,5.9990858475566124,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
A3E,B,-2.6934559622467296,83.51882170406834,-5.8837474053657495,10.23969467918594,1.0406761443301855,3.5730571564621783,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
B3E,B,-26.876041997135488,61.48529502901142,-8.818893629073312,0.14534810710324395,0.2717190044238302,3.3812175276823653,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
B4E,B,-33.33914772726045,54.14406282976879,-11.682828073841208,0.09654280390736104,1.9774799811864452,8.420304466968384,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
A4E,B,-20.723314891332265,67.33623036587072,-8.766292515895788,10.356253165712802,1.4580941576126387,8.137066208832435,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
B2E,B,-0.21344831295226732,81.67982764598946,-8.310255705480571,0.01203424467352165,0.02837051333444868,1.3694893071345484,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
A2E,B,7.66574040887432,77.50811120524551,-9.796409774886396,10.551636858343246,0.4573881015410221,1.4884784496720502,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/128/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_128_funfol_template_sketch_0001.pdb
A1E,A,16.762420899299595,-73.17358455906479,-1.4359155313123608,0.14175367350849766,0.3447593477408429,7.405142082203607,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
B1E,A,10.787583640951741,-79.16550580549348,1.0049149072443622,10.355136819890829,0.3096270286184886,7.225972674832001,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
A3E,A,-3.5768861854121154,-85.92862787106966,-1.9410859390152824,0.15943866583890728,0.19294778195355847,2.3945423758668443,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
B3E,A,-24.493669181198047,-65.01653666755844,4.618407268402585,10.426304593593272,0.37288897566307616,2.278526055642629,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
B4E,A,-36.062464546353176,-53.862268401363536,-2.0140911042571314,10.431986036101938,0.43100217256995066,7.261043057684982,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
A4E,A,-20.336707271654728,-69.65944716226875,0.32632025231150324,0.10061604241896184,0.3019218550201607,7.497775925457662,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
B2E,A,-1.4085228872977134,-88.12832280485863,1.230508379111292,10.546194617469798,0.4310250701017026,2.3005795244484895,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
A2E,A,5.67125837477354,-84.24988583009619,-0.9524411763555524,0.08358287935866869,0.2340704612022344,2.4857715763142587,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
A1E,B,17.999086763404023,-71.96434999733198,-1.1009965649683144,10.265201489188788,0.4721094664969974,6.3555093480766125,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
B1E,B,12.035292678995914,-77.88328850257524,1.3758965539982329,0.06928234799043025,0.4023866000332256,6.126552503971176,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
A3E,B,-2.3421528176402355,-87.21879663540605,-1.5004575695894673,10.611162058213234,0.400569632498064,3.4436136133751947,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
B3E,B,-23.233331015174976,-66.14643600192662,5.110384427979714,0.0398006357039448,0.3957001916001913,3.3783759216727813,0.0,0.0,0.0,srch6E5C02/natlik/betasandwich70150/l55/corrections2XZ/mid/lmaster/connectivity/A1E.B1E.A3E.B3E.B4E.A4E.B2E.A2E/statistic/funfoldes_folding/_pdb_files/154/srch6E5C02_natlik_betasandwich70150_l55_corrections2XZ_mid_lmaster_154_funfol_template_sketch_0001.pdb
