measure,layer,sse,close,mid,far,extreme
angles_layer,A,A1E,-11.427572777975193,-14.378687801984427,-18.56577793884025,-21.248733957863664
angles_layer,A,A3E,9.359656884047942,2.2958212761462136,7.995898205972292,-6.03328933399084
angles_layer,A,A4E,4.140588994480914,15.669333024634195,18.671104730765883,17.957472699104564
angles_layer,A,A2E,-2.328174311103032,-8.16699153657521,-4.514695756065414,-8.503781629789145
angles_floor,A,A1E,3.54292065466106,73.97097070906706,69.32035533086884,-61.46773345987724
angles_floor,A,A3E,1.3314470359615882,81.7642028579163,75.83008190655268,-70.18706215748647
angles_floor,A,A4E,5.6885337166933425,71.72332923893077,70.24048041936953,-64.3313327702632
angles_floor,A,A2E,0.619110669099868,79.85242167099517,78.95307254660045,-70.44224608525862
angles_side,A,A1E,-2.5891285080634123,0.8332059724450147,0.1300879451772623,-0.49931704304366065
angles_side,A,A3E,-0.7345251521163685,-2.392434533431432,1.8581025271792377,2.2803583465315
angles_side,A,A4E,-6.778114710054408,-4.121916132134842,-0.6755987826496046,-0.543954934274403
angles_side,A,A2E,-0.2005029763048931,1.1951913707188844,1.164745471402231,1.4454597031943734
points_layer,A,A1E,0.39152262993495596,0.26417553181591574,0.19694330175671318,0.5441211267777928
points_layer,A,A3E,0.6040210084168243,0.21391784123080276,0.27885905350803,0.4544376412289147
points_layer,A,A4E,0.45779789140249433,0.2964474661100938,0.22879615832363798,0.42528472235456627
points_layer,A,A2E,0.2721413990273291,0.28768461356136704,0.17843885614459512,0.3943963311769854
points_floor,A,A1E,0.4779941057090355,0.5234981524857522,1.5520332323051638,1.6905498882583552
points_floor,A,A3E,0.2283407572179044,0.29420488704901815,0.3453740328601147,0.4099336180752849
points_floor,A,A4E,1.0432555769142806,0.9455656713730534,0.5467117445771542,2.8391116285135003
points_floor,A,A2E,0.8161446641718937,0.16910351829952414,0.37477673937112355,0.46859513807346714
points_side,A,A1E,7.180240984734638,7.067273522171617,6.5277977990025615,6.139837267663928
points_side,A,A3E,1.8982153462539535,2.4025210583759105,2.0425567301799292,1.8938816469296003
points_side,A,A4E,7.316595453421947,6.565177315810747,6.7549669353798105,6.33072372994418
points_side,A,A2E,2.458108106505093,2.1251627505217514,2.3431163024024153,2.114998182689535
