description,MolProbityScore,Mol_pct_rank,clashscore,pct_rank,cbeta>0.25,ramaOutlier,ramaAllowed,ramaFavored
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0005.pdb,1.849,83,4.08,96,0,1,10,63
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0002.pdb,2.109,70,5.87,91,0,2,10,62
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0006.pdb,2.01,75,9.98,71,2,1,5,68
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0003.pdb,2.345,56,12.43,61,1,1,9,64
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0001.pdb,2.023,75,8.36,80,0,1,7,66
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0008.pdb,1.663,90,2.49,99,1,1,9,64
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0004.pdb,2.07,72,6.52,89,0,1,8,65
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0010.pdb,2.124,69,7.54,84,1,1,8,65
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0009.pdb,2.1519999999999997,67,10.01,71,1,1,9,64
srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_betasandwich70120_l44_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0007.pdb,2.09,71,6.7,88,1,2,12,60
