description,MolProbityScore,Mol_pct_rank,clashscore,pct_rank,cbeta>0.25,ramaOutlier,ramaAllowed,ramaFavored
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0008.pdb,1.821,84,5.43,92,0,1,7,78
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0009.pdb,1.455,96,2.75,98,0,0,5,81
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0010.pdb,1.517,95,3.34,97,0,0,5,81
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0007.pdb,1.5490000000000002,94,2.71,98,0,0,7,79
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0005.pdb,1.8969999999999998,81,6.12,90,0,0,9,77
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0006.pdb,1.46,96,2.01,99,0,0,7,79
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0002.pdb,1.369,98,2.06,99,0,0,5,81
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0001.pdb,1.45,96,2.7,98,0,0,5,81
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0003.pdb,1.318,98,1.39,99,0,0,6,80
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_56_funfol_template_sketch_0001_0004.pdb,1.5,95,2.67,98,0,0,5,81
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0006.pdb,1.368,98,5.51,92,0,0,2,84
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0010.pdb,1.527,94,5.53,92,0,0,3,83
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0009.pdb,1.2890000000000001,98,2.74,98,0,0,3,83
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0004.pdb,1.4769999999999999,96,4.81,94,0,0,3,83
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0001.pdb,1.202,99,2.05,99,0,0,3,83
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0008.pdb,1.209,99,3.48,97,0,0,2,84
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0005.pdb,1.205,99,3.44,97,0,0,2,84
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0003.pdb,1.207,99,3.46,97,0,0,2,84
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0007.pdb,1.5190000000000001,95,5.41,93,0,0,3,83
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_24_funfol_template_sketch_0001_0002.pdb,1.5219999999999998,95,3.39,97,0,0,5,81
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0001.pdb,2.051,73,5.01,94,0,6,15,65
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0008.pdb,2.075,72,6.51,89,1,5,11,70
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0009.pdb,1.625,92,1.43,99,0,4,14,68
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0004.pdb,2.249,62,9.5,74,0,4,14,68
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0005.pdb,2.148,68,7.29,85,0,5,13,68
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0007.pdb,1.933,79,4.19,96,0,4,13,69
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0003.pdb,2.068,72,5.64,92,0,4,15,67
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0006.pdb,1.9509999999999998,78,4.22,96,0,2,16,68
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0002.pdb,1.9580000000000002,78,4.31,96,0,4,14,68
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_34_funfol_template_sketch_0001_0010.pdb,2.158,67,6.95,87,0,5,15,66
srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_72_des_srch1QYS02_natlik_absuperfamily70250_corrections3XYZ_mid_l13_lmaster_72_funfol_template_sketch_0001_0003.pdb,1.53,94,3.47,97,0,0,5,81
