description,MolProbityScore,Mol_pct_rank,clashscore,pct_rank,cbeta>0.25,ramaOutlier,ramaAllowed,ramaFavored
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_funfol_template_sketch_0001_0003.pdb,1.6740000000000002,90,4.65,95,0,1,5,83
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_funfol_template_sketch_0001_0001.pdb,1.426,97,2.59,98,0,0,5,84
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_funfol_template_sketch_0001_0002.pdb,1.828,84,5.69,92,0,0,8,81
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_funfol_template_sketch_0001_0004.pdb,1.761,87,5.94,91,0,0,6,83
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_139_funfol_template_sketch_0001_0005.pdb,1.76,87,5.91,91,0,0,6,83
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_funfol_template_sketch_0001_0002.pdb,1.5819999999999999,93,5.09,93,0,0,4,85
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_funfol_template_sketch_0001_0004.pdb,1.287,98,1.28,99,0,0,6,83
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_funfol_template_sketch_0001_0001.pdb,1.4969999999999999,95,3.24,97,0,0,5,84
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_funfol_template_sketch_0001_0005.pdb,1.43,97,2.62,98,0,0,5,84
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_56_funfol_template_sketch_0001_0003.pdb,1.538,94,4.5,95,0,0,4,85
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_149_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_149_funfol_template_sketch_0001_0003.pdb,1.715,89,5.22,93,0,1,5,83
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_149_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_149_funfol_template_sketch_0001_0004.pdb,1.66,91,5.21,93,0,1,4,84
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_149_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_149_funfol_template_sketch_0001_0005.pdb,1.4869999999999999,95,2.64,98,0,1,5,83
srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_149_des_srch2N75_natlik_db_rmlike70120_corrections2XZ_mid_149_funfol_template_sketch_0001_0002.pdb,1.7519999999999998,87,5.12,93,1,1,6,82
