description,MolProbityScore,Mol_pct_rank,clashscore,pct_rank,cbeta>0.25,ramaOutlier,ramaAllowed,ramaFavored
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0005.pdb,1.903,81,7.53,84,0,0,6,68
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0007.pdb,1.473,96,4.1,96,0,0,3,71
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0010.pdb,1.571,93,4.19,96,1,0,4,70
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0009.pdb,1.571,93,4.19,96,0,0,4,70
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0004.pdb,1.729,88,4.12,96,0,0,7,67
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0006.pdb,1.82,84,8.31,80,0,0,4,70
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0002.pdb,1.6369999999999998,91,5.05,94,0,0,4,70
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0003.pdb,1.355,98,1.67,99,0,0,5,69
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0001.pdb,1.8090000000000002,85,5.84,91,0,0,6,68
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_139_funfol_template_sketch_0001_0008.pdb,1.4969999999999999,95,3.36,97,0,0,4,70
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0007.pdb,1.9040000000000001,81,6.08,90,0,1,7,66
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0003.pdb,1.771,87,2.64,98,0,1,13,60
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0005.pdb,2.035,74,6.09,90,1,0,13,61
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0002.pdb,1.93,79,5.98,90,0,0,9,65
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0006.pdb,1.915,80,4.35,95,0,0,13,61
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0008.pdb,1.693,89,2.52,98,0,0,11,63
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0010.pdb,1.964,77,5.31,93,0,1,11,62
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0004.pdb,1.855,83,3.44,97,0,0,14,60
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0001.pdb,2.015,75,6.1,90,0,1,11,62
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_56_funfol_template_sketch_0001_0009.pdb,1.935,79,5.22,93,0,0,11,63
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_149_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_149_funfol_template_sketch_0001_0007.pdb,1.9469999999999998,78,6.84,87,0,3,5,66
srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_149_des_srch6E5C02_natlik_db_betasandwich70120_l55_corrections4XYZZ_mid_lmaster_149_funfol_template_sketch_0001_0010.pdb,1.913,80,6.89,87,0,0,7,67
