description,MolProbityScore,Mol_pct_rank,clashscore,pct_rank,cbeta>0.25,ramaOutlier,ramaAllowed,ramaFavored
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0007.pdb,1.7630000000000001,87,7.14,86,1,0,4,70
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0005.pdb,2.227,63,14.13,53,0,1,7,66
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0001.pdb,1.9680000000000002,77,8.94,77,1,0,6,68
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0008.pdb,1.788,86,9.71,73,1,0,3,71
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0009.pdb,1.609,92,8.9,78,2,0,2,72
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0004.pdb,1.953,78,8.6,79,1,0,6,68
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0002.pdb,1.625,92,2.68,98,1,2,6,66
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0010.pdb,1.9969999999999999,76,7.83,82,1,0,5,69
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0006.pdb,1.565,93,5.33,93,1,0,3,71
srch6E5C02_naive_139_des_srch6E5C02_naive_139_funfol_template_sketch_0001_0003.pdb,1.804,85,7.96,82,1,0,4,70
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0003.pdb,2.375,54,13.43,56,0,2,13,59
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0002.pdb,2.314,58,11.5,65,1,4,11,59
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0004.pdb,2.551,44,17.86,38,1,3,16,55
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0006.pdb,2.48,48,16.07,45,2,3,14,57
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0001.pdb,2.202,64,9.49,74,0,2,11,61
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0005.pdb,2.349,56,13.82,54,1,3,10,61
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0008.pdb,2.224,63,9.56,74,0,3,11,60
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0007.pdb,2.3480000000000003,56,13.11,57,0,1,13,60
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0010.pdb,2.4019999999999997,53,14.35,52,1,2,13,59
srch6E5C02_naive_56_des_srch6E5C02_naive_56_funfol_template_sketch_0001_0009.pdb,2.281,60,11.05,66,1,1,13,60
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0002.pdb,2.346,56,11.87,63,1,1,9,64
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0010.pdb,2.311,58,17.44,40,0,2,6,66
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0009.pdb,2.253,61,12.13,62,0,3,8,63
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0003.pdb,2.365,55,19.93,33,1,1,7,66
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0001.pdb,2.201,64,13.22,57,1,2,6,66
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0006.pdb,2.1430000000000002,68,14.01,54,1,2,4,68
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0005.pdb,2.076,72,9.62,73,0,3,5,66
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0004.pdb,2.229,63,11.41,65,0,2,9,63
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0007.pdb,2.245,62,12.67,60,1,1,9,64
srch6E5C02_naive_149_des_srch6E5C02_naive_149_funfol_template_sketch_0001_0008.pdb,2.074,72,8.8,78,1,2,7,65
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0004.pdb,1.7519999999999998,87,6.94,87,0,0,4,70
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0001.pdb,1.905,80,10.35,70,0,0,4,70
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0010.pdb,2.0540000000000003,73,12.78,60,0,0,5,69
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0006.pdb,2.12,69,11.84,63,0,1,6,67
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0005.pdb,1.652,91,6.77,88,0,0,3,71
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0003.pdb,1.686,90,7.42,85,0,1,2,71
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0002.pdb,2.0580000000000003,73,8.43,80,0,0,9,65
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0008.pdb,1.8130000000000002,85,5.91,91,1,1,5,68
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0007.pdb,1.695,89,4.24,96,0,0,6,68
srch6E5C02_naive_114_des_srch6E5C02_naive_114_funfol_template_sketch_0001_0009.pdb,1.818,85,6.92,87,0,0,5,69
srch6E5C02_naive_24_des_srch6E5C02_naive_24_funfol_template_sketch_0001_0002.pdb,2.113,69,8.45,80,0,2,9,63
srch6E5C02_naive_24_des_srch6E5C02_naive_24_funfol_template_sketch_0001_0003.pdb,2.396,53,14.81,50,1,1,13,60
srch6E5C02_naive_24_des_srch6E5C02_naive_24_funfol_template_sketch_0001_0008.pdb,2.276,60,10.43,69,0,1,14,59
srch6E5C02_naive_24_des_srch6E5C02_naive_24_funfol_template_sketch_0001_0001.pdb,2.381,54,16.73,43,0,0,11,63
srch6E5C02_naive_24_des_srch6E5C02_naive_24_funfol_template_sketch_0001_0006.pdb,2.124,69,8.69,78,0,1,10,63
srch6E5C02_naive_24_des_srch6E5C02_naive_24_funfol_template_sketch_0001_0007.pdb,2.31,58,16.03,45,0,1,8,65
srch6E5C02_naive_24_des_srch6E5C02_naive_24_funfol_template_sketch_0001_0004.pdb,1.848,83,4.39,95,1,2,8,64
srch6E5C02_naive_24_des_srch6E5C02_naive_24_funfol_template_sketch_0001_0005.pdb,2.016,75,6.13,90,1,1,11,62
